city_iata,city_name,country_name
EMK,Emmonak,United States Of America
EML,Emmen,Switzerland
EMM,Kemmerer,United States Of America
EMN,Nema,Mauritania
EMO,Emo,Papua New Guinea
EMP,Emporia,United States Of America
EMR,El Mirador Heliport,Guatemala
EMS,Embessa,Papua New Guinea
EMT,El Monte,United States Of America
EMX,El Maiten,Argentina
EMY,El-Minya,Egypt
ENA,Kenai,United States Of America
ENB,Eneabba,Australia
ENE,Ende,Indonesia
ENF,Enontekio,Finland
ENH,Enshi,China
ENI,El Nido,Philippines
ENJ,El Naranjo,Guatemala
ENK,Enniskillen,United Kingdom
ENL,Centralia,United States Of America
ENN,Nenana,United States Of America
ENO,Encarnacion,Paraguay
ENQ,Coronel Enrique Soto Cano,Honduras
ENS,Enschede,Netherlands
ENT,Enewetak Island,Marshall Islands
ENU,Enugu,Nigeria
ENV,Wendover,United States Of America
ENW,Kenosha,United States Of America
ENY,Yan'an,China
EOI,Eday,United Kingdom
EOK,Keokuk,United States Of America
EOR,El Dorado,Venezuela
EOS,Neosho,United States Of America
EOZ,Elorza,Venezuela
EPA,El Palomar,Argentina
EPG,Weeping Water,United States Of America
EPH,Ephrata,United States Of America
EPI,Epk,Vanuatu
EPK,Episkopi,Cyprus
EPL,Epinal,France
EPN,Epena,Congo
EPR,Esperance,Australia
EPS,Samana,Dominican Republic
EPT,Eliptamin,Papua New Guinea
EPU,Parnu,Estonia
EQS,Esquel,Argentina
ERA,Erigavo,Somalia
ERB,Ernabella,Australia
ERC,Erzincan,Turkey
ERD,Berdiansk,Ukraine
ERE,Erave,Papua New Guinea
ERF,Erfurt,Germany
ERG,Yerbogachen,Russian Federation
ERH,Errachidia,Morocco
ERI,Erie,United States Of America
ERL,Erenhot,China
ERM,Erechim,Brazil
ERN,Eirunepe,Brazil
ERO,Eldred Rock,United States Of America
ERQ,Elrose Mine,Australia
ERR,Errol,United States Of America
ERT,Erdenet,Mongolia
ERU,Erume,Papua New Guinea
ERV,Kerrville,United States Of America
ERZ,Erzurum,Turkey
ESA,Esa'ala,Papua New Guinea
ESC,Escanaba,United States Of America
ESD,Eastsound,United States Of America
ESE,Ensenada,Mexico
ESG,Mariscal Estigarribia,Paraguay
ESH,Shoreham-By-Sea,United Kingdom
ESI,Espinosa,Brazil
ESK,Eskisehir,Turkey
ESL,Elista,Russian Federation
ESM,Esmeraldas,Ecuador
ESN,Easton,United States Of America
ESO,Espanola,United States Of America
ESP,East Stroudsburg,United States Of America
ESR,El Salvador,Chile
ESS,Essen,Germany
EST,Estherville,United States Of America
ESU,Essaouira,Morocco
ESW,Easton,United States Of America
ETB,West Bend,United States Of America
ETD,Etadunna,Australia
ETE,Metema,Ethiopia
ETH,Eilat,Israel
ETL,Svetlaya,Russian Federation
ETN,Eastland,United States Of America
ETR,Santa Rosa,Ecuador
ETS,Enterprise,United States Of America
ETZ,Metz/Nancy,France
EUA,Eua,Tonga
EUC,Eucla,Australia
EUE,Eureka,United States Of America
EUF,Eufaula,United States Of America
EUG,Eugene,United States Of America
EUM,Neumunster,Germany
EUN,Laayoune,Morocco
EUO,Paratebueno,Colombia
EUQ,Antique,Philippines
EUX,St Eustatius,"Bonaire, Saint Eustatius And Saba"
EVA,Evadale,United States Of America
EVD,Eva Downs,Australia
EVE,Harstad-Narvik,Norway
EVG,Sveg,Sweden
EVH,Evans Head,Australia
EVM,Eveleth,United States Of America
EVN,Yerevan,Armenia
EVO,Estepona,Spain
EVV,Evansville,United States Of America
EVW,Evanston,United States Of America
EVX,Evreux,France
EWB,New Bedford/Fall River,United States Of America
EWD,Wildman Lake,United States Of America
EWE,Ewer,Indonesia
EWI,Enarotali,Indonesia
EWK,Newton,United States Of America
EWN,New Bern,United States Of America
EWO,Ewo,Congo
EWS,Ede Wageningen,Netherlands
EWV,Enshi,China
EWY,Newbury,United Kingdom
EXI,Excursion Inlet,United States Of America
EXM,Exmouth,Australia
EXT,Exeter,United Kingdom
EYK,Beloyarsky,Russian Federation
EYL,Yelimane,Mali
EYP,Yopal,Colombia
EYR,Yerington,United States Of America
EYS,Eliye Springs,Kenya
EYW,Key West,United States Of America
EZS,Elazig,Turkey
EZV,Berezovo,Russian Federation
FAA,Faranah,Guinea
FAB,Farnborough,United Kingdom
FAC,Faaite,French Polynesia
FAE,Faroe Islands,Faroe Islands
FAF,Fort Eustis,United States Of America
FAG,Fagurholsmyri,Iceland
FAH,Farah,Afghanistan
FAI,Fairbanks,United States Of America
FAJ,Fajardo,Puerto Rico
FAK,False Island,United States Of America
FAL,Roma,United States Of America
FAM,Farmington,United States Of America
FAN,Farsund,Norway
FAO,Faro,Portugal
FAQ,Freida River,Papua New Guinea
FAR,Fargo,United States Of America
FAS,Faskrudsfjordur,Iceland
FAT,Fresno,United States Of America
FAU,Fahud,Oman
FAV,Fakarava,French Polynesia
FAY,Fayetteville,United States Of America
FAZ,Fasa,Iran Islamic Republic Of
FBA,Fonte Boa,Brazil
FBD,Faizabad,Afghanistan
FBE,Francisco Beltrao,Brazil
FBG,Fort Bragg,United States Of America
FBL,Faribault,United States Of America
FBM,Lubumbashi,Congo Democratic Republic Of
FBR,Fort Bridger,United States Of America
FBY,Fairbury,United States Of America
FCA,Kalispell,United States Of America
FCB,Ficksburg,South Africa
FCN,Cuxhaven,Germany
FCY,Forrest City,United States Of America
FDE,Forde,Norway
FDF,Fort De France,Martinique
FDH,Friedrichshafen,Germany
FDK,Frederick,United States Of America
FDR,Frederick,United States Of America
FDU,Bandundu,Congo Democratic Republic Of
FDY,Findlay,United States Of America
FEA,Fetlar,United Kingdom
FEB,Sanfebagar,Nepal
FEC,Feira De Santana,Brazil
FEG,Fergana,Uzbekistan
FEJ,Feijo,Brazil
FEK,Ferkessedougou,Cote D'ivoire
FEL,Furstenfeldbruck,Germany
FEN,Fernando De Noronha,Brazil
FEP,Freeport,United States Of America
FER,Fergusons Gulf,Kenya
FES,San Fernando,Spain
FET,Fremont,United States Of America
FEZ,Fes,Morocco
FFA,Kill Devil,United States Of America
FFD,Fairford,United Kingdom
FFF,Fuxin,China
FFL,Fairfield,United States Of America
FFM,Fergus Falls,United States Of America
FFT,Frankfort,United States Of America
FFU,Futaleufu,Chile
FGD,F'derik,Mauritania
FGL,Fox Glacier,New Zealand
FGR,Fuengirola,Spain
FGU,Fangatau,French Polynesia
FHU,Fort Huachuca/Sierra Vista,United States Of America
FHZ,Fakahina,French Polynesia
FIC,Fire Cove,United States Of America
FID,Fishers Island,United States Of America
FIE,Fair Isle,United Kingdom
FIG,Fria,Guinea
FIH,Kinshasa,Congo Democratic Republic Of
FIK,Finke,Australia
FIL,Fillmore,United States Of America
FIN,Finschhafen,Papua New Guinea
FIV,Five Finger,United States Of America
FIZ,Fitzroy Crossing,Australia
FJR,Fujairah,United Arab Emirates
FKB,Karlsruhe/Baden-Baden,Germany
FKH,Fakenham,United Kingdom
FKI,Kisangani,Congo Democratic Republic Of
FKJ,Fukui,Japan
FKL,Franklin,United States Of America
FKN,Franklin,United States Of America
FKQ,Fak Fak,Indonesia
FKS,Fukushima,Japan
FLA,Florencia,Colombia
FLB,Floriano,Brazil
FLC,Falls Creek,Australia
FLD,Fond Du Lac,United States Of America
FLF,Flensburg,Germany
FLH,Flotta,United Kingdom
FLI,Flateyri,Iceland
FLJ,Falls Bay,United States Of America
FLL,Fort Lauderdale,United States Of America
FLM,Filadelfia,Paraguay
FLN,Florianopolis,Brazil
FLO,Florence,United States Of America
FLP,Flippin,United States Of America
FLR,Florence,Italy
FLS,Flinders Island,Australia
FLT,Flat,United States Of America
FLV,Fort Leavenworth,United States Of America
FLW,Flores Island,Portugal
FLY,Finley,Australia
FLZ,Sibolga,Indonesia
FMA,Formosa,Argentina
FMC,Five Mile,United States Of America
FME,Fort Meade/Odenton,United States Of America
FMG,Flamingo,Costa Rica
FMH,Falmouth,United States Of America
FMI,Kalemie,Congo Democratic Republic Of
FMM,Memmingen,Germany
FMN,Farmington,United States Of America
FMO,Muenster/Osnabrueck,Germany
FMS,Fort Madison,United States Of America
FMU,Florence,United States Of America
FMV,Montevideo Fluvial,Uruguay
FMY,Fort Myers,United States Of America
FNA,Freetown,Sierra Leone
FNB,Neubrandenburg,Germany
FNC,Funchal,Portugal
FND,Funadhoo,Maldives
FNE,Fane,Papua New Guinea
FNG,Fada N'gourma,Burkina Faso
FNH,Fincha'a,Ethiopia
FNI,Nimes,France
FNJ,Pyongyang,Korea Democratic People's Republic Of
FNK,Fin Creek,United States Of America
FNL,Fort Collins/Loveland,United States Of America
FNR,Funter Bay,United States Of America
FNT,Flint,United States Of America
FNU,Oristano,Italy
FOA,Foula,United Kingdom
FOB,Fort Bragg,United States Of America
FOC,Fuzhou,China
FOD,Fort Dodge,United States Of America
FOG,Foggia,Italy
FOI,Foggia,Italy
FOK,Westhampton Beach,United States Of America
FOM,Foumban,Cameroon
FON,Fortuna,Costa Rica
FOO,Numfoor,Indonesia
FOP,Forest Park,United States Of America
FOR,Fortaleza,Brazil
FOS,Forrest,Australia
FOT,Forster,Australia
FOU,Fougamou,Gabon
FOX,Fox,United States Of America
FOY,Foya,Liberia
FPO,Freeport,Bahamas
FPR,Fort Pierce,United States Of America
FPY,Perry,United States Of America
FRA,Frankfurt,Germany
FRB,Forbes,Australia
FRC,Franca,Brazil
FRD,Friday Harbor,United States Of America
FRE,Fera Island,Solomon Islands
FRG,Farmingdale,United States Of America
FRH,French Lick,United States Of America
FRI,Fort Riley,United States Of America
FRJ,Frejus,France
FRK,Fregate Island,Seychelles
FRL,Forli,Italy
FRM,Fairmont,United States Of America
FRO,Floro,Norway
FRP,Fresh Water Bay,United States Of America
FRQ,Feramin,Papua New Guinea
FRR,Front Royal,United States Of America
FRS,Flores,Guatemala
FRT,Frutillar,Chile
FRU,Bishkek,Kyrgyzstan
FRW,Francistown,Botswana
FRY,Fryeburg,United States Of America
FRZ,Fritzlar,Germany
FSA,Foshan,China
FSC,Figari,France
FSD,Sioux Falls,United States Of America
FSI,Lawton/Fort Sill,United States Of America
FSK,Fort Scott,United States Of America
FSL,Fossil Downs Station,Australia
FSM,Fort Smith,United States Of America
FSN,Fort Sheridan,United States Of America
FSP,St Pierre,Saint Pierre And Miquelon
FSS,Forres,United Kingdom
FST,Fort Stockton,United States Of America
FSU,Fort Sumner,United States Of America
FSZ,Shizuoka,Japan
FTA,Futuna Island,Vanuatu
FTE,El Calafate,Argentina
FTI,Fitiuta,American Samoa
FTK,Fort Knox,United States Of America
FTL,Fortuna Ledge,United States Of America
FTU,Tolanaro,Madagascar
FTW,Fort Worth,United States Of America
FTX,Owando,Congo
FUB,Fulleborn,Papua New Guinea
FUD,Sui Fen He,China
FUE,Fuerteventura,Spain
FUG,Fuyang,China
FUJ,Fukue,Japan
FUK,Fukuoka,Japan
FUL,Fullerton,United States Of America
FUM,Fuma,Papua New Guinea
FUN,Funafuti,Tuvalu
FUO,Foshan,China
FUS,Fushun,China
FUT,Futuna,Wallis And Futuna Islands
FVL,Flora Valley,Australia
FVM,Fuvahmulak Island,Maldives
FVR,Forrest River Mission,Australia
FWA,Fort Wayne,United States Of America
FWL,Farewell,United States Of America
FWM,Fort William,United Kingdom
FXM,Flaxman Island,United States Of America
FXO,Cuamba,Mozambique
FXY,Forest City,United States Of America
FYJ,Fuyuan,China
FYM,Fayetteville,United States Of America
FYN,Fuyun,China
FYT,Faya-Largeau,Chad
FYU,Fort Yukon,United States Of America
FYV,Fayetteville/Springdale,United States Of America
FZL,Fuzuli,Azerbaijan
FZO,Filton,United Kingdom
GAA,Guamal,Colombia
GAB,Gabbs,United States Of America
GAC,Gracias,Honduras
GAD,Gadsden,United States Of America
GAE,Gabes,Tunisia
GAF,Gafsa,Tunisia
GAG,Gage,United States Of America
GAH,Gayndah,Australia
GAI,Gaithersburg,United States Of America
GAJ,Yamagata,Japan
GAK,Gakona,United States Of America
GAL,Galena,United States Of America
GAM,Gambell,United States Of America
GAN,Gan Island,Maldives
GAO,Guantanamo Bay Ns,Cuba
GAP,Gusap,Papua New Guinea
GAQ,Gao,Mali
GAR,Garaina,Papua New Guinea
GAS,Garissa,Kenya
GAT,Gap,France
GAU,Guwahati,India
GAV,Gag Island,Indonesia
GAW,Gangaw,Myanmar
GAX,Gamba,Gabon
GAY,Gaya,India
GAZ,Guasopa,Papua New Guinea
GBA,Kemble,United Kingdom
GBB,Gabala,Azerbaijan
GBC,Gasuke,Papua New Guinea
GBD,Great Bend,United States Of America
GBE,Gaborone,Botswana
GBF,Negarbo,Papua New Guinea
GBG,Galesburg,United States Of America
GBH,Galbraith,United States Of America
GBI,Gulbarga,India
GBJ,Marie Galante,Guadeloupe
GBK,Gbangbatok,Sierra Leone
GBL,South Goulburn Island,Australia
GBM,Garbaharey,Somalia
GBN,San Giovanni Rotondo,Italy
GBP,Gamboola,Australia
GBQ,Muharraq,Bahrain
GBR,Great Barrington,United States Of America
GBS,Port Fitzroy,New Zealand
GBT,Gorgan,Iran Islamic Republic Of
GBU,Khashm El Girba,Sudan
GBV,Gibb River,Australia
GBW,Ginbata,Australia
GBZ,Great Barrier Island,New Zealand
GCA,Guacamayas,Colombia
GCC,Gillette,United States Of America
GCD,Electric City,United States Of America
GCH,Gachsaran,Iran Islamic Republic Of
GCI,Guernsey,United Kingdom
GCK,Garden City,United States Of America
GCM,Grand Cayman,Cayman Islands
GCN,Grand Canyon,United States Of America
GCV,Gravatai,Brazil
GCW,Grand Canyon West,United States Of America
GCY,Greeneville,United States Of America
GDA,Gounda,Central African Republic
GDB,Gondia,India
GDD,Gordon Downs,Australia
GDE,Gode,Ethiopia
GDG,Magdagachi,Russian Federation
GDH,Golden Horn,United States Of America
GDI,Melle,Central African Republic
GDJ,Gandajika,Congo Democratic Republic Of
GDL,Guadalajara,Mexico
GDM,Gardner,United States Of America
GDN,Gdansk,Poland
GDO,Guasdualito,Venezuela
GDP,Guadalupe,Brazil
GDQ,Gonder,Ethiopia
GDR,Angra Dos Reis,Brazil
GDT,Grand Turk,Turks And Caicos Islands
GDU,Guadalajara,Spain
GDV,Glendive,United States Of America
GDW,Gladwin,United States Of America
GDX,Magadan,Russian Federation
GDZ,Gelendzhik,Russian Federation
GEB,Gebe,Indonesia
GEC,Gecitkale,Cyprus
GED,Georgetown,United States Of America
GEE,George Town,Australia
GEF,Geva,Solomon Islands
GEG,Spokane,United States Of America
GEI,Green Islands,Papua New Guinea
GEK,Ganes Creek,United States Of America
GEL,Santo Angelo,Brazil
GEM,Mongomo,Equatorial Guinea
GEN,Puente Genil,Spain
GEO,Georgetown,Guyana
GER,Nueva Gerona,Cuba
GES,General Santos,Philippines
GET,Geraldton,Australia
GEV,Gallivare,Sweden
GEW,Gewoya,Papua New Guinea
GEX,Geelong,Australia
GEY,Greybull,United States Of America
GFB,Togiak Fish,United States Of America
GFD,Greenfield,United States Of America
GFE,Grenfell,Australia
GFF,Griffith,Australia
GFK,Grand Forks,United States Of America
GFL,Glens Falls,United States Of America
GFN,Grafton,Australia
GFO,Bartica,Guyana
GFR,Granville,France
GFY,Grootfontein,
GGA,La Graciosa,Spain
GGB,Agua Boa,Brazil
GGC,Lumbala N' Guimbo,Angola
GGD,Gregory Downs,Australia
GGE,Georgetown,United States Of America
GGF,Almeirim,Brazil
GGG,Longview,United States Of America
GGH,Cianorte,Brazil
GGJ,Guaira,Brazil
GGL,Gilgal,Colombia
GGM,Kakamega,Kenya
GGN,Gagnoa,Cote D'ivoire
GGO,Guiglo,Cote D'ivoire
GGR,Garowe,Somalia
GGS,Gobernador Gregores,Argentina
GGT,George Town,Bahamas
GGW,Glasgow,United States Of America
GGZ,Graz,Austria
GHA,Ghardaia,Algeria
GHB,Governors Harbour,Bahamas
GHC,Great Harbour Cay,Bahamas
GHD,Ghimbi,Ethiopia
GHE,Garachine,Panama
GHF,Giebelstadt,Germany
GHK,Kennedy Lake,Canada
GHM,Centerville,United States Of America
GHN,Guanghan,China
GHS,West Kutai,Indonesia
GHT,Ghat,Libya
GHU,Gualeguaychu,Argentina
GIB,Gibraltar,Gibraltar
GIC,Boigu Island,Australia
GID,Gitega,Burundi
GIF,Winter Haven,United States Of America
GII,Siguiri,Guinea
GIJ,Gijon,Spain
GIL,Gilgit,Pakistan
GIM,Miele Mimbale,Gabon
GIR,Girardot,Colombia
GIS,Gisborne,New Zealand
GIT,Geita,Tanzania United Republic Of
GIU,Sigiriya,Sri Lanka
GIY,Giyani,South Africa
GIZ,Jazan,Saudi Arabia
GJA,Guanaja,Honduras
GJL,Jijel,Algeria
GJM,Guajara-Mirim,Brazil
GJN,Zhijiang,China
GJR,Gjogur,Iceland
GJT,Grand Junction,United States Of America
GKA,Goroka,Papua New Guinea
GKD,Gokceada,Turkey
GKE,Geilenkirchen,Germany
GKH,Gorkha,Nepal
GKK,Kooddoo Island,Maldives
GKL,Great Keppel Island,Australia
GKN,Gulkana,United States Of America
GKO,Kongo-Boumba,Gabon
GKT,Sevierville,United States Of America
GLA,Glasgow,United Kingdom
GLB,Globe,United States Of America
GLC,Geladi,Ethiopia
GLD,Goodland,United States Of America
GLE,Gainesville,United States Of America
GLF,Golfito,Costa Rica
GLG,Glengyle,Australia
GLH,Greenville,United States Of America
GLI,Glen Innes,Australia
GLK,Galcaio,Somalia
GLL,Gol,Norway
GLM,Glenormiston,Australia
GLN,Guelmime,Morocco
GLO,Gloucester/Cheltenham,United Kingdom
GLP,Gulgubip,Papua New Guinea
GLQ,Glenallen,United States Of America
GLR,Gaylord,United States Of America
GLS,Galveston,United States Of America
GLT,Gladstone,Australia
GLU,Gelephu,Bhutan
GLV,Golovin,United States Of America
GLW,Glasgow,United States Of America
GLX,Galela,Indonesia
GLY,Mount Goldsworthy,Australia
GLZ,Breda,Netherlands
GMA,Gemena,Congo Democratic Republic Of
GMB,Gambela,Ethiopia
GMC,Guerima,Colombia
GMD,Ben Slimane,Morocco
GME,Gomel,Belarus
GMI,Gasmata,Papua New Guinea
GMM,Gamboma,Congo
GMN,Greymouth,New Zealand
GMO,Gombe,Nigeria
GMQ,Golog,China
GMR,Totegegie,French Polynesia
GMS,Guimaraes,Brazil
GMT,Granite Mountain,United States Of America
GMV,Monument Valley,United States Of America
GMY,Rheindahlen,Germany
GMZ,San Sebastian/Gomera,Spain
GNA,Grodno,Belarus
GND,Grenada,"Grenada, Windward Islands"
GNE,Gent,Belgium
GNF,Quincy,United States Of America
GNG,Gooding,United States Of America
GNI,Lyndao (Green Island),Chinese Taipei
GNM,Guanambi,Brazil
GNN,Ginir,Ethiopia
GNO,Grenoble Routiere,France
GNR,General Roca,Argentina
GNS,Gunung Sitoli,Indonesia
GNT,Grants,United States Of America
GNU,Goodnews Bay,United States Of America
GNV,Gainesville,United States Of America
GNZ,Ghanzi,Botswana
GOA,Genoa,Italy
GOB,Goba,Ethiopia
GOC,Gora,Papua New Guinea
GOE,Gonalia,Papua New Guinea
GOG,Gobabis,
GOH,Nuuk,Greenland
GOI,Goa,India
GOJ,Nizhny Novgorod,Russian Federation
GOK,Guthrie,United States Of America
GOL,Gold Beach,United States Of America
GOM,Goma,Congo Democratic Republic Of
GON,Groton/New London,United States Of America
GOO,Goondiwindi,Australia
GOP,Gorakhpur,India
GOQ,Golmud,China
GOR,Gore,Ethiopia
GOS,Gosford,Australia
GOT,Goteborg,Sweden
GOU,Garoua,Cameroon
GOV,Nhulunbuy,Australia
GOX,Pernem,India
GOY,Gal Oya,Sri Lanka
GOZ,Gorna Oryahovitsa,Bulgaria
GPA,Patrai,Greece
GPB,Guarapuava,Brazil
GPD,Mount Gordon Mine,Australia
GPI,Guapi,Colombia
GPL,Guapiles,Costa Rica
GPN,Garden Point,Australia
GPO,General Pico,Argentina
GPS,Baltra Island,Ecuador
GPT,Gulfport/Biloxi,United States Of America
GPZ,Grand Rapids,United States Of America
GQJ,Machrihanish,United Kingdom
GQQ,Galion,United States Of America
GRA,Gamarra,Colombia
GRB,Green Bay,United States Of America
GRC,Grand Cess,Liberia
GRD,Greenwood,United States Of America
GRE,Greenville,United States Of America
GRG,Gardez,Afghanistan
GRH,Garuahi,Papua New Guinea
GRI,Grand Island,United States Of America
GRJ,George,South Africa
GRL,Garasa,Papua New Guinea
GRM,Grand Marais,United States Of America
GRN,Gordon,United States Of America
GRO,Girona,Spain
GRP,Gurupi,Brazil
GRQ,Groningen,Netherlands
GRR,Grand Rapids,United States Of America
GRS,Grosseto,Italy
GRT,Gujrat,Pakistan
GRV,Grozny,Russian Federation
GRW,Graciosa Island,Portugal
GRX,Granada,Spain
GRY,Grimsey,Iceland
GRZ,Graz,Austria
GSA,Long Pasia,Malaysia
GSB,Goldsboro,United States Of America
GSC,Gascoyne Junction,Australia
GSH,Goshen,United States Of America
GSI,Grand Santi,French Guiana
GSJ,Puerto San Jose,Guatemala
GSL,Taltheilei Narrows,Canada
GSM,Gheshm Island,Iran Islamic Republic Of
GSN,Mount Gunson,Australia
GSO,Greensboro/High Point,United States Of America
GSP,Greenville/Spartanburg,United States Of America
GSQ,Shark El-Owainat,Egypt
GSR,Gardo,Somalia
GSS,Sabie,South Africa
GST,Gustavus,United States Of America
GSU,Gedaref,Sudan
GSY,Grimsby Town,United Kingdom
GTA,Gatokae,Solomon Islands
GTB,Genting,Malaysia
GTC,Geita,Tanzania United Republic Of
GTE,Groote Eylandt,Australia
GTF,Great Falls,United States Of America
GTG,Grantsburg,United States Of America
GTI,Guettin,Germany
GTK,Sungei Tekai,Malaysia
GTO,Gorontalo,Indonesia
GTP,Grants Pass,United States Of America
GTS,The Granites,Australia
GTT,Georgetown,Australia
GTW,Zlin,Czech Republic
GTY,Gettysburg,United States Of America
GTZ,Grumeti,Tanzania United Republic Of
GUA,Guatemala City,Guatemala
GUB,Guerrero Negro,Mexico
GUC,Gunnison,United States Of America
GUD,Goundam,Mali
GUE,Guriaso,Papua New Guinea
GUF,Gulf Shores,United States Of America
GUG,Guari,Papua New Guinea
GUH,Gunnedah,Australia
GUI,Guiria,Venezuela
GUJ,Guaratingueta,Brazil
GUL,Goulburn,Australia
GUM,Guam,Guam
GUO,Guriel,Somalia
GUP,Gallup,United States Of America
GUQ,Guanare,Venezuela
GUR,Alotau,Papua New Guinea
GUS,Peru,United States Of America
GUT,Guetersloh,Germany
GUU,Grundarfjordur,Iceland
GUV,Mougulu,Papua New Guinea
GUW,Atyrau,Kazakhstan
GUX,Guna,India
GUY,Guymon,United States Of America
GUZ,Guarapari,Brazil
GVA,Geneva,Switzerland
GVE,Gordonsville,United States Of America
GVI,Green River,Papua New Guinea
GVL,Gainesville,United States Of America
GVN,Sovetskaya Gavan,Russian Federation
GVP,Greenvale,Australia
GVR,Governador Valadares,Brazil
GVT,Greenville,United States Of America
GVW,Grandview,United States Of America
GVX,Gavle,Sweden
GWA,Gwa,Myanmar
GWD,Gwadar,Pakistan
GWE,Gweru,Zimbabwe
GWL,Gwalior,India
GWN,Gnarowein,Papua New Guinea
GWO,Greenwood,United States Of America
GWS,Glenwood Springs,United States Of America
GWT,Westerland,Germany
GWV,Glendale,United States Of America
GWY,Galway,Ireland Republic Of
GXA,Muara Teweh,Indonesia
GXF,Sayun,Yemen
GXG,Negage,Angola
GXH,Xiahe,China
GXQ,Coyhaique,Chile
GXX,Yagoua,Cameroon
GXY,Greeley,United States Of America
GYA,Guayaramerin,Bolivia
GYB,Wodgina,Australia
GYE,Guayaquil,Ecuador
GYG,Magan,Russian Federation
GYI,Gisenyi,Rwanda
GYL,Argyle,Australia
GYM,Guaymas,Mexico
GYN,Goiania,Brazil
GYO,Blangkejeren,Indonesia
GYP,Gympie,Australia
GYR,Goodyear,United States Of America
GYS,Guangyuan,China
GYU,Guyuan,China
GYZ,Gruyere,Australia
GZA,Gaza,Palestine
GZG,Ganzi,China
GZI,Ghazni,Afghanistan
GZM,Gozo Heliport,Malta
GZO,Gizo,Solomon Islands
GZP,Gazipasa,Turkey
GZT,Gaziantep,Turkey
GZW,Ghazvin,Iran Islamic Republic Of
HAA,Hasvik,Norway
HAB,Hamilton,United States Of America
HAC,Hachijojima,Japan
HAD,Halmstad,Sweden
HAE,Havasupai,United States Of America
HAF,Half Moon Bay,United States Of America
HAG,The Hague,Netherlands
HAI,Three Rivers,United States Of America
HAJ,Hannover,Germany
HAK,Haikou,China
HAL,Halali,
HAM,Hamburg,Germany
HAN,Hanoi,Viet Nam
HAO,Hamilton,United States Of America
HAP,Long Island/Happy Bay,Australia
HAQ,Hanimaadhoo Island,Maldives
HAR,Harrisburg,United States Of America
HAS,Hail,Saudi Arabia
HAT,Heathlands,Australia
HAU,Haugesund,Norway
HAV,Havana,Cuba
HAW,Haverfordwest,United Kingdom
HAY,Haycock,United States Of America
HAZ,Hatzfeldthaven,Papua New Guinea
HBA,Hobart,Australia
HBC,Hanus Bay,United States Of America
HBD,Habi,Papua New Guinea
HBG,Hattiesburg/Laurel,United States Of America
HBH,Entrance Island,United States Of America
HBI,Harbour Island,Bahamas
HBK,Holbrook,United States Of America
HBL,Babelegi,South Africa
HBM,Macheng North,China
HBN,Phu-Bon,Viet Nam
HBO,Humboldt,United States Of America
HBQ,Qilian,China
HBR,Hobart,United States Of America
HBU,Bulgan (Khovd),Mongolia
HBX,Hubli,India
HCA,Big Spring,United States Of America
HCB,Shoal Cove,United States Of America
HCC,Hudson,United States Of America
HCJ,Hechi,China
HCM,Eil,Somalia
HCN,Hengchun,Chinese Taipei
HCQ,Halls Creek,Australia
HCR,Holy Cross,United States Of America
HCW,Cheraw,United States Of America
HDA,Hidden Falls,United States Of America
HDB,Heidelberg,Germany
HDD,Hyderabad,Pakistan
HDE,Holdrege,United States Of America
HDF,Heringsdorf,Germany
HDG,Handan,China
HDH,Mokuleia,United States Of America
HDK,Kulhudhuffushi,Maldives
HDM,Hamadan,Iran Islamic Republic Of
HDN,Hayden,United States Of America
HDR,Havadarya,Iran Islamic Republic Of
HDS,Hoedspruit,South Africa
HDY,Hat Yai,Thailand
HEA,Herat,Afghanistan
HEB,Hinthada,Myanmar
HED,Herendeen Bay,United States Of America
HEE,Helena-West Helena,United States Of America
HEH,Heho,Myanmar
HEI,Heide/Buesum,Germany
HEK,Heihe,China
HEL,Helsinki,Finland
HEO,Haelogo,Papua New Guinea
HER,Irakleion,Greece
HES,Hermiston,United States Of America
HET,Hohhot,China
HEV,Huelva,Spain
HEW,Dongyang,China
HEZ,Natchez,United States Of America
HFA,Haifa,Israel
HFD,Hartford,United States Of America
HFE,Hefei,China
HFF,Camp Mackall,United States Of America
HFH,Hereford,United Kingdom
HFN,Hornafjordur,Iceland
HFS,Hagfors,Sweden
HFT,Hammerfest,Norway
HGA,Hargeisa,Somalia
HGD,Hughenden,Australia
HGE,Higuerote,Venezuela
HGH,Hangzhou,China
HGI,Itanagar,India
HGL,Helgoland,Germany
HGN,Mae Hong Son,Thailand
HGO,Korhogo,Cote D'ivoire
HGR,Hagerstown,United States Of America
HGT,Fort Hunter Liggett,United States Of America
HGU,Mount Hagen,Papua New Guinea
HGZ,Hogatza,United States Of America
HHA,Huanghua,China
HHE,Hachinohe,Japan
HHH,Hilton Head Island,United States Of America
HHI,Wahiawa,United States Of America
HHQ,Hua Hin,Thailand
HHR,Hawthorne,United States Of America
HHZ,Hikueru,French Polynesia
HIA,Huai'an,China
HIB,Hibbing/Chisholm,United States Of America
HID,Horn Island,Australia
HIE,Whitefield,United States Of America
HIG,Highbury,Australia
HIH,Hook Island,Australia
HII,Lake Havasu City,United States Of America
HIJ,Hiroshima,Japan
HIL,Shilabo,Ethiopia
HIM,Hingurakgoda,Sri Lanka
HIN,Jinju,Korea Republic Of
HIO,Portland,United States Of America
HIP,Headingly,Australia
HIR,Honiara,Solomon Islands
HIS,Hayman Island,Australia
HIT,Hivaro,Papua New Guinea
